"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000102824",239.921079718963,-1.31093361942903,0.216015399853966,-6.06870445493826,1.28946185819772e-09,1.16592822832594e-07,"Down-regulated"
"ENSMUSG00000060519",417.989839191529,-0.887607269876171,0.173922188978244,-5.10347342734515,3.33475356272319e-07,1.36065376564817e-05,"Down-regulated"
"ENSMUSG00000033557",509.377650387226,0.610190504815823,0.189685805697205,3.21684852787493,0.00129607006049633,0.0120385759328791,"Up-regulated"
"ENSMUSG00000016252",3322.79693764461,-0.999025368460074,0.178135406096152,-5.60823583785937,2.04399377497942e-08,1.31896126942284e-06,"Down-regulated"
"ENSMUSG00000027459",78.5924586747928,-0.822827546531857,0.280872325074381,-2.92954297406822,0.00339460870367488,0.0253565672062365,"Down-regulated"
"ENSMUSG00000036040",349.437459025859,-1.08227226146946,0.251342586838038,-4.30596452071555,1.66259704916836e-05,0.000369555714358393,"Down-regulated"
"ENSMUSG00000026648",473.186915261961,1.01669802450266,0.214994664520786,4.72894537531356,2.2568908894575e-06,6.91609576334174e-05,"Up-regulated"
"ENSMUSG00000000305",25.9133880086084,1.2464751382608,0.464649542012249,2.68261350880218,0.00730493573786463,0.0449591170958996,"Up-regulated"
"ENSMUSG00000086430",40.6996587557202,1.31269393428646,0.420594435410459,3.12104446414132,0.00180210821813256,0.0155095659102266,"Up-regulated"
"ENSMUSG00000039145",908.239696254694,-0.696430328416656,0.194615652206479,-3.57849083833079,0.000345583980314176,0.00430818224990813,"Down-regulated"
"ENSMUSG00000038914",2759.66900103715,0.754654218866024,0.140227589557176,5.38163867216961,7.38108098147024e-08,3.98959683456e-06,"Up-regulated"
"ENSMUSG00000034780",483.898514633393,0.652818278467881,0.212953892931172,3.06553812885157,0.00217278671609018,0.0178502410640992,"Up-regulated"
"ENSMUSG00000027030",60.5955270252905,-1.17594453782159,0.340542746328683,-3.45314810108038,0.000554084707485681,0.00613935914920594,"Down-regulated"
"ENSMUSG00000027577",62.5625378048134,-2.87085003502038,0.52522896701482,-5.4659019500335,4.60558878793466e-08,2.59471786791026e-06,"Down-regulated"
"ENSMUSG00000083097",109.283377417755,-0.728804948149207,0.258201597428247,-2.82261982655525,0.00476330181200192,0.0326958036280244,"Down-regulated"
"ENSMUSG00000027068",14.8889742549729,-2.19511149558091,0.684313940985425,-3.20775504356948,0.00133775387030346,0.0123187742216687,"Down-regulated"
"ENSMUSG00000075304",126.251030382912,-0.733967101787501,0.253629519633761,-2.89385519022921,0.00380543618541101,0.0277047859065112,"Down-regulated"
"ENSMUSG00000047459",2072.08422973757,-0.857787954950366,0.163895554669386,-5.23374753318183,1.6610730005827e-07,7.89980432225174e-06,"Down-regulated"
"ENSMUSG00000027602",730.322730800514,-0.87327803916443,0.187169532804151,-4.6657061439492,3.07558977007517e-06,9.02830439921063e-05,"Down-regulated"
"ENSMUSG00000016344",1363.11386509613,-0.669427183597176,0.183517932039853,-3.64774807647573,0.000264548837564812,0.00348481238547605,"Down-regulated"
"ENSMUSG00000026707",157.041583432936,0.735501051685985,0.225174285815724,3.26636342609696,0.00108938341661011,0.0104982159779637,"Up-regulated"
"ENSMUSG00000017418",666.150216619351,0.613913065219367,0.180849602183989,3.39460556067354,0.000687275393514162,0.00727399563886954,"Up-regulated"
"ENSMUSG00000074884",1154.12443514005,-0.580040397330229,0.182582113077266,-3.17687416118776,0.00148871616707546,0.0133865650186135,"Down-regulated"
"ENSMUSG00000027582",941.902700423755,0.685523758542093,0.163055033487514,4.20424775537265,2.61951884529796e-05,0.000540432564027105,"Up-regulated"
"ENSMUSG00000085439",14.8587928525491,2.28863331665614,0.713060955027578,3.20959000842729,0.0013292442198139,0.0122807365149384,"Up-regulated"
"ENSMUSG00000086231",227.098957055816,2.38072915344973,0.717672912593361,3.31728996827649,0.000908952274682679,0.00908208248264112,"Up-regulated"
"ENSMUSG00000046229",127.754002961,-5.45636203232109,0.454479444850226,-12.0057399606252,3.31485688396201e-33,9.7112047272551e-30,"Down-regulated"
"ENSMUSG00000027253",1204.32136318153,0.620167536515013,0.13576664281744,4.56789328840464,4.92650717309769e-06,0.000131206321948246,"Up-regulated"
"ENSMUSG00000041762",765.830003686958,0.688100296665978,0.171539813686455,4.01131540182099,6.03813796644758e-05,0.00106948784682617,"Up-regulated"
"ENSMUSG00000046470",121.405875196295,-1.15985238789661,0.260410195421628,-4.45394384816118,8.43071579523652e-06,0.000207340694378158,"Down-regulated"
"ENSMUSG00000036617",394.240264053779,0.658424373727882,0.216069157418363,3.04728533028437,0.00230918399602323,0.0186055705026118,"Up-regulated"
"ENSMUSG00000067818",37.4411914679157,-1.29403102164074,0.409649992611466,-3.15886987667559,0.00158382189053055,0.0140519824666817,"Down-regulated"
"ENSMUSG00000036591",1128.87854843516,0.91948662152543,0.172286517235886,5.33696215047703,9.45167603966697e-08,4.90950888755467e-06,"Up-regulated"
"ENSMUSG00000083563",624.919908347999,0.580895720774435,0.213091563529843,2.72603809907792,0.00640995989858934,0.0407522103274899,"Up-regulated"
"ENSMUSG00000027639",1022.03492809213,0.627641076243723,0.208193155833545,3.01470561667039,0.0025722878911094,0.0202792642782403,"Up-regulated"
"ENSMUSG00000018770",12119.8973086555,-0.59312128903439,0.141269118439389,-4.19852049468876,2.68664541505999e-05,0.000549636620667581,"Down-regulated"
"ENSMUSG00000027203",231.670674124639,-0.798633017117963,0.224964457361942,-3.5500408663803,0.000385171354652531,0.00468214938004172,"Down-regulated"
"ENSMUSG00000091337",95.0936222774624,-0.929599827337007,0.27408105799974,-3.39169672695107,0.000694612778489251,0.00734634511141555,"Down-regulated"
"ENSMUSG00000068742",1240.68976506906,0.842709764510834,0.149055785482853,5.6536535081879,1.57072697933967e-08,1.05059400882957e-06,"Up-regulated"
